Size,Time(ms)
16,0.001
32,0.009
48,0.030
64,0.071
80,0.142
96,0.267
112,0.396
128,0.827
144,0.870
160,1.214
176,1.658
192,2.240
208,2.643
224,3.407
240,4.155
256,7.190
272,6.195
288,7.752
304,9.714
320,14.399
336,12.737
352,14.763
368,17.014
384,24.474
400,22.601
416,28.271
432,28.712
448,39.325
464,36.475
480,43.491
496,43.211
512,60.256
528,53.222
544,65.137
560,63.322
576,84.988
592,75.774
608,91.421
624,89.873
640,116.325
656,104.098
672,125.801
688,123.039
704,161.056
720,143.658
736,177.140
752,171.788
768,223.944
784,207.152
800,246.924
816,233.941
832,300.238
848,262.218
864,318.348
880,1154.240
896,1728.579
912,1770.366
928,7723.727
944,667.907
960,2170.521
976,2223.181
992,783.989
